Symbol,Company Name,Last Price,Change,% Change,Volume
MCD,McDonald's Corporation,166.54,-0.23,-0.14%,"1,519,455"
MRK,"Merck & Co., Inc.",71.93,0.11,0.16%,"5,451,932"
CVX,Chevron Corporation,117.48,0.19,0.16%,"2,844,635"
WMT,Walmart Inc.,96.2,-0.36,-0.37%,"5,077,255"
KO,The Coca-Cola Company,45.67,-0.19,-0.40%,"5,185,696"
PG,The Procter & Gamble Company,80.77,-0.373,-0.46%,"4,397,169"
WBA,"Walgreens Boots Alliance, Inc.",76.55,-0.43,-0.56%,"3,043,543"
VZ,Verizon Communications Inc.,54.31,0.35,0.65%,"6,490,633"
UNH,UnitedHealth Group Incorporated,265.5,-1.8,-0.67%,"1,383,799"
XOM,Exxon Mobil Corporation,82.08,0.58,0.71%,"8,031,274"
JNJ,Johnson & Johnson,138.46,-1,-0.71%,"2,971,372"
UTX,United Technologies Corporation,129.05,-1.02,-0.78%,"1,395,708"
DIS,The Walt Disney Company,116.07,-1.06,-0.90%,"2,640,584"
JPM,JPMorgan Chase & Co.,108.77,-1.06,-0.97%,"8,796,542"
PFE,Pfizer Inc.,44.06,-0.51,-1.16%,"9,340,620"
AXP,American Express Company,103.06,-1.28,-1.23%,"1,635,137"
GS,"The Goldman Sachs Group, Inc.",225.45,-2.83,-1.24%,"1,454,659"
DWDP,DowDuPont Inc.,58.83,-0.74,-1.24%,"4,092,327"
CSCO,"Cisco Systems, Inc.",45.33,-0.61,-1.33%,"9,194,901"
NKE,"NIKE, Inc.",75.44,-1.04,-1.36%,"3,621,911"
BA,The Boeing Company,360.44,-5.06,-1.38%,"1,633,647"
MMM,3M Company,199.96,-2.97,-1.46%,"921,896"
TRV,"The Travelers Companies, Inc.",124.46,-1.98,-1.56%,"1,483,776"
INTC,Intel Corporation,44.99,-0.9,-1.96%,"10,383,469"
MSFT,Microsoft Corporation,108.46,-2.25,-2.03%,"15,342,541"
AAPL,Apple Inc.,216.35,-4.84,-2.19%,"18,500,910"
IBM,International Business Machines Corporation,130.83,-3.22,-2.40%,"5,458,815"
V,Visa Inc.,138.9772,-3.4728,-2.44%,"3,921,576"
HD,"The Home Depot, Inc.",180.38,-4.79,-2.59%,"5,322,223"
CAT,Caterpillar Inc.,136.18,-5.16,-3.65%,"4,150,744"
